['130515', '0.03', '-57.20', '0.00', '0.00', '1.02', '-7.60', '-0.50']
['130541', '0.03', '-57.20', '0.00', '0.00', '1.03', '-7.64', '-0.50']
['130567', '0.03', '-57.20', '0.00', '0.00', '1.04', '-7.68', '-0.50']
['130593', '0.03', '-57.20', '0.00', '0.00', '1.06', '-7.79', '-0.50']
['130619', '0.03', '-57.20', '0.00', '0.00', '1.06', '-7.82', '-0.50']
['130645', '0.03', '-57.20', '0.00', '0.00', '1.06', '-7.81', '-0.50']
['130671', '0.03', '-57.20', '0.00', '0.00', '1.07', '-7.83', '-0.50']
['130697', '0.03', '-57.20', '0.00', '0.00', '1.08', '-7.90', '-0.50']
['130723', '0.03', '-57.20', '0.00', '0.00', '1.09', '-7.97', '-0.50']
['130749', '0.03', '-57.20', '0.00', '0.00', '1.08', '-7.92', '-0.50']
['130775', '0.03', '-57.20', '0.00', '0.00', '1.06', '-7.80', '-0.50']
['130801', '0.03', '-57.20', '0.00', '0.00', '1.04', '-7.72', '-0.50']
['130827', '0.03', '-57.20', '0.00', '0.00', '1.04', '-7.69', '-0.50']
['130853', '0.03', '-57.20', '0.00', '0.00', '1.04', '-7.70', '-0.50']
['130879', '0.03', '-57.20', '0.00', '0.00', '1.05', '-7.73', '-0.50']
['130905', '0.03', '-57.20', '0.00', '0.00', '1.07', '-7.83', '-0.50']
['130931', '0.03', '-57.20', '0.00', '0.00', '1.09', '-7.96', '-0.50']
['130957', '0.03', '-57.20', '0.00', '0.00', '1.11', '-8.04', '-0.50']
['130983', '0.03', '-57.20', '0.00', '0.00', '1.12', '-8.08', '-0.50']
['131009', '0.03', '-57.20', '0.00', '0.00', '1.11', '-8.05', '-0.50']
['131035', '0.03', '-57.20', '0.00', '0.00', '1.09', '-7.95', '-0.50']
['131061', '0.03', '-57.20', '0.00', '0.00', '1.08', '-7.91', '-0.50']
['131087', '0.03', '-57.20', '0.00', '0.00', '1.09', '-7.97', '-0.50']
['131113', '0.03', '-57.20', '0.00', '0.00', '1.10', '-7.98', '-0.50']
['131139', '0.03', '-57.20', '0.00', '0.00', '1.08', '-7.88', '-0.50']
['131165', '0.03', '-57.20', '0.00', '0.00', '1.05', '-7.77', '-0.50']
['131191', '0.03', '-57.20', '0.00', '0.00', '1.05', '-7.76', '-0.50']
['131217', '0.03', '-57.20', '0.00', '0.00', '1.04', '-7.70', '-0.50']
['131243', '0.03', '-57.20', '0.00', '0.00', '1.03', '-7.65', '-0.50']
['131269', '0.03', '-57.20', '0.00', '0.00', '1.01', '-7.57', '-0.50']
['131295', '0.03', '-57.20', '0.00', '0.00', '1.00', '-7.52', '-0.50']
['131321', '0.03', '-57.20', '0.00', '0.00', '1.00', '-7.51', '-0.50']
['131347', '0.03', '-57.20', '0.00', '0.00', '1.00', '-7.48', '-0.50']
['131373', '0.03', '-57.20', '0.00', '0.00', '0.98', '-7.41', '-0.50']
['131399', '0.03', '-57.20', '0.00', '0.00', '0.97', '-7.34', '-0.50']
